,Control_R1,Control_R2,Control_R3,Control_R4,Control_R5
b2179_yejE_2275273_1,5.1411832300794,5.18177587228855,4.94661336538868,5.23357578257711,5.30661773547982
b2180_yejF_2276300_1,3.21665668742056,3.28058214010074,3.28656026390787,3.50003934780784,3.65500252296601
b2181_yejG_2278237_-1,4.61299757846902,5.16405997302938,4.4857890555592,4.8096018408705,4.32915849152905
b2182_bcr_2279760_-1,4.4830644533657,4.40838878126378,4.42702524230069,4.49889475995547,4.62820946104484
b2183_rsuA_2280483_-1,4.46482107429066,5.14612381992932,4.36576585371922,4.8387297226893,4.85205980077479
b2184_yejH_2280632_1,4.41817707359427,4.7125348232487,4.26391606726683,4.51702779356958,4.54185431355706
b2185_rplY_2282517_1,6.86247381704134,7.55475257103474,7.20810298505523,7.28159776253459,7.39450916908706
b2186_yejK_2283947_-1,9.68665828718833,9.33109724009265,10.0813704274085,9.39766078478376,9.41567015016697
b2187_yejL_2284129_1,3.58085855021979,3.89942924072574,3.54524709624315,3.86816786733967,3.95146139422144
b2188_yejM_2284376_1,3.47545813283276,3.43628935453073,3.41306840883817,2.97861648465524,3.54090157306001
b2190_yejO_2290180_-1;b2190_yejO_2288914_-1,7.43802008159338,8.0413335890874,7.93863271074489,8.30714123907067,8.07570716893194
b2193_narP_2290500_1,5.186419034242,5.41685004077851,4.91641506157038,5.1946756087794,4.8360211081689
b2194_ccmH_2292410_-1,6.37855345493556,6.29650461013687,6.79861383511704,6.0616349122608,5.96365121723923
b2195_dsbE_2292964_-1,4.71685464305708,5.00895607398023,4.75514519676059,5.3238980312746,5.16614531448618
b2197_ccmE_2295380_-1,4.50108001640109,4.55152824484827,4.73452302775808,4.91592555462405,4.48127195278843
b2198_ccmD_2295586_-1,5.50482124122909,5.26307735636452,5.3415199676298,5.37450181609064,5.36925351973389
b2199_ccmC_2296320_-1,4.62125747635466,4.7954220478125,4.52634444969727,4.48053091059173,4.68303536540228
b2200_ccmB_2297024_-1,4.89091640567249,5.01390963566306,5.58749947849837,5.37450181609064,5.40230593391871
b2201_ccmA_2297644_-1,4.9576693682271,5.03842548698943,5.3415199676298,5.4377399337652,5.27127076436206
b2202_napC_2298259_-1,5.1752423593465,5.05774256500811,5.27167122873844,5.13134528671619,5.42392754740947
b2203_napB_2298718_-1,7.40491201962368,7.11737651530872,7.38281512701295,7.23579944054251,7.23853133749891
b2204_napH_2299578_-1,5.70849381299653,5.37895641782895,6.13835774662233,5.23904830614846,5.33542607781167
b2205_napG_2300260_-1,3.72579197747184,3.77656703993283,2.79643333812716,3.89614814849133,2.74198685957992
