"","gene","01_no_PNA","02_PNA15_5nM","03_PNA15_0.5nM","07_no_PNA","08_PNA15_5nM","09_PNA15_0.5nM","13_no_PNA","14_PNA15_5nM","15_PNA15_0.5nM","74_PNA15_16nM","75_PNA15_63nM","76_PNA15_250nM","77_PNA15_1000nM","78_PNA14_1000nM","79_no_PNA","80_PNA15_16nM","81_PNA15_63nM","82_PNA15_250nM","83_PNA15_1000nM","84_PNA14_1000nM","85_no_PNA","86_PNA15_16nM","87_PNA15_63nM","88_PNA15_250nM","89_PNA15_1000nM","90_PNA14_1000nM"
"b2679_proX_2807132_1","proX","109.454175470395","165.209755680958","112.18696127327","152.278230774998","105.488518151794","153.541068919241","134.271121877108","155.32581218423","159.801285043157","106.337195029883","112.711878824319","157.123734560319","145.092729187854","113.785608462148","147.992929835328","120.977183845516","115.824223826651","142.303353499978","122.040880920704","99.2114076809821","132.509342509341","122.508994145145","116.36395694305","126.595369822749","130.790942979266","146.994720345893"
"b2681_ygaY_2808316_1;b2681_ygaY_2808570_1","ygaY","58.5910027871049","67.3585175981115","51.951556960934","74.0902810097992","47.3202040645459","58.8670664233771","51.6132571249776","60.2576023154425","66.2784003061821","46.4202755226603","39.8184415219815","42.7110996762558","45.1765997698546","41.1765599683465","61.3419970042083","40.9658188683227","36.3490915200661","38.7334571656745","47.4995336146092","39.2862690999509","50.4493400397008","40.7792176315307","44.8049584905372","38.125246510326","45.6500244193559","37.6727281350692"
"b2682_ygaZ_2809617_1","ygaZ","9.69491413024039","10.6871592695694","9.46725411588774","10.1887979863999","10.4740372632987","8.80688395310366","13.4143366290165","11.3464954999828","8.71823501785356","11.4516979262951","7.54623690134326","9.07334241827195","7.2546364593927","7.22947236085473","8.29332360429856","9.76138652721753","11.0895533451049","10.104380130176","11.5221640946329","9.77630659630116","7.66319089210646","11.9938875386855","12.087668657519","7.65763498284325","10.506751652074","7.3923843887683"
"b2683_ygaH_2810344_1","ygaH","24.1670323246572","28.8259158280128","24.0231573190651","25.8042383785997","20.3869653874921","19.4678487384397","24.7845838669447","33.3785255970367","34.2785149565606","47.6472431576205","34.5200198678468","39.6128851919678","32.3161078645675","33.9470876074918","35.0321428112612","48.3268644462245","37.3759020149833","44.2066630695198","34.5664922838988","36.9327138082488","38.4756042707845","44.7200663942417","44.9661274059708","47.0863087242915","41.4835539366369","38.9521792792791"
"b2684_mprA_2810770_1","mprA","287.756291865686","328.94880137069","291.591426769342","311.865816627197","304.495226154469","304.648656746178","316.322833270902","326.73500633931","320.395136906118","343.346443183025","252.879215310971","298.97769773379","277.654722673121","263.561416285943","270.962900519755","295.081914035887","292.435628952396","274.081311031023","349.662408341207","243.321408619051","277.471370218355","275.174048387556","277.69404129207","278.281713844601","282.05193659102","282.332219155651"
"b2685_emrA_2811427_1","emrA","832.498061183685","788.202507963928","768.386012180739","731.378498936793","670.899493990222","709.533558484917","653.086560452687","613.702198353438","622.164953546822","862.149258165357","668.725036044568","752.423517612796","704.853883270541","714.931951511482","670.615305244142","712.101148297016","666.605373300196","671.099246979187","706.379202862802","648.857089650803","756.58045078526","704.212539771392","719.941545241833","751.42579874198","685.837271633657","746.062178312616"
"b2686_emrB_2812616_1","emrB","40.184716539837","39.7091697630788","42.0109401392519","40.4229485329996","42.8313309517036","40.5580182050826","44.8422110169979","39.9881346261529","38.4394907605361","61.3483817480093","56.5164976441027","51.3418400253437","52.5961143305971","51.5492811817468","47.9010932317244","54.5677509144455","50.1083521519556","53.8900273609385","51.9673115288546","57.7526260040754","54.4405852960063","47.975550154742","55.9256136554547","59.4688674199529","45.8311753099089","49.7564333859405"
"b2687_luxS_2814733_-1","luxS","206.122304769024","198.741943480891","217.628503988969","212.525036259798","238.284347740046","210.206414354343","250.400950408307","256.562990480193","227.070393874095","263.18455769896","233.291111013867","230.816979079455","225.718120747923","232.60041508837","246.511894720874","257.156527036698","267.997539173369","221.033315347599","224.564626742336","247.666433772963","194.293819076949","210.578396929207","218.545049327944","235.431543621457","209.772731260374","238.688719014269"
"b2688_gshA_2816439_-1","gshA","178.864140402841","161.287862371024","186.268224730091","166.786193125198","177.684560716674","159.798591728026","166.59328537369","173.171756562844","149.497916385693","211.651917030632","188.977038997469","203.375650790047","216.814703275032","198.810489923505","185.026909378661","187.066571316677","186.674147975933","186.510016569498","200.344567523005","190.637978627873","192.537671164175","204.924135660969","212.904137287768","199.098509553924","225.351707847932","179.833966380614"
"b2689_yqaA_2816940_-1","yqaA","20.0923582699185","21.3743185391387","19.7628929669157","24.4752647281998","18.3295652107727","19.8154888944832","17.6302709981359","19.2780263349222","20.6067373149266","21.2674390059765","20.5514536887646","20.1383941478719","18.3014692498316","19.6453053284096","19.4464139687001","22.403182193614","26.4917107688618","20.6297760991093","25.1606440433821","17.3801006156465","22.1913236250583","18.8475375607915","22.8859859915694","16.9445540045893","21.013503304148","20.7555407838495"
