"","RNA_input"
"b0545_ybcL_570893_1",2493
"b0546_ybcM_571454_1",1249
"b4588_ylcH_572368_1",664
"b0547_ybcN_572466_1",3284
"b0548_ninE_572921_1",981
"b0549_ybcO_573084_1",2458
"b0550_rusA_573371_1",616
"b4509_ylcG_573730_1",561
"b0551_quuD_573956_1",385
"b0553_nmpC_576825_-1;b0553_nmpC_574586_-1",4290
"b0552_insH1_575753_-1",0
"b0554_essD_577398_1",464
"b0555_rrrD_577613_1",3887
"b0556_rzpD_578107_1",1200
"b4510_rzoD_578327_1",7
"b0557_borD_578893_-1",1046
"b0558_ybcV_579594_-1",1301
"b0559_ybcW_579880_1",6047
"b4589_ylcI_580445_-1",1101
"b0560_nohD_580834_1",451
"b4634_aaaD_581354_1",151
"b0561_tfaD_581660_1",3393
"b0562_ybcY_582806_-1;b0562_ybcY_582804_-1",3346
"b0563_tfaX_582953_1",752
"b0564_appY_583681_1",7123
"b0565_ompT_585633_-1",918
"b0566_envY_586908_-1",1407
"b0567_ybcH_587981_-1",1144
"b0568_nfrA_590954_-1",788
"b0569_nfrB_593178_-1",1354
"b0570_cusS_594770_-1",568
"b0571_cusR_595443_-1",1909
"b0572_cusC_595600_1",435
"b0573_cusF_597131_1",5942
"b0574_cusB_597479_1",534
"b0575_cusA_598714_1",700
"b0576_pheP_601959_1",1967
"b0577_ybdG_604663_-1",2222
"b0578_nfsB_605424_-1",976
"b0579_ybdF_605886_-1",590
"b0580_ybdJ_606199_-1",3512
"b0581_ybdK_607383_-1",1775
"b4415_hokE_607836_1",240
"b0582_insL1_608065_1",0
"b0583_entD_610079_-1",258
"b0584_fepA_612494_-1",585
"b0585_fes_612737_1",1642
"b4511_ybdZ_613942_1",425
"b0586_entF_614157_1",2302
"b0587_fepE_618254_1",1198
"b0588_fepC_620199_-1",1194
"b0589_fepG_621188_-1",479
"b0590_fepD_622189_-1",7801
"b0591_entS_622300_1",3472
"b0592_fepB_624510_-1",915
"b0593_entC_624885_1",2376
"b0594_entE_626070_1",1191
"b0595_entB_627694_1",1190
"b0596_entA_628551_1",267
"b0597_entH_629300_1",672
"b0598_cstA_629894_1",860
"b4512_ybdD_632182_1",473
"b0599_ybdH_633477_-1",635
"b0600_ybdL_633586_1",372
"b0601_ybdM_635376_-1",2331
"b0602_ybdN_636569_-1",1331
"b0603_ybdO_637618_-1",3627
"b0604_dsbG_638573_-1",2184
"b0605_ahpC_638945_1",580
"b0606_ahpF_639753_1",2276
"b0607_uspG_641867_-1",480
