"","Control_R1","Control_R2","Control_R3","Control_R4","Control_R5"
"b2502_ppx_2625115_1",4.17997315901825,4.25671884780729,4.3942380242882,4.33396825668834,3.98023848700097
"b2503_yfgF_2628938_-1",4.51708850505983,4.41476741078439,4.52022564898025,4.30296946310129,4.25801661162128
"b2504_yfgG_2629290_1",3.76926831211526,3.79857924161094,3.71111284630983,4.17185071316949,3.81013906805053
"b2505_yfgH_2629792_1",6.83252645249121,6.96087555848132,6.57907651880005,6.79512918207991,7.07833167425132
"b2506_yfgI_2630326_1",7.74731106093036,7.42109474191593,7.7087933524822,7.54530662073696,7.54445131200745
"b2507_guaA_2632535_-1",5.36246793410534,5.32702598215235,5.15427525159272,5.21063611680974,5.305916212501
"b2508_guaB_2634070_-1",2.69563869606687,2.98903756514504,2.65910849232506,3.00373263648506,2.67075049035258
"b2509_xseA_2634232_1",1.08961441718785,1.71883657450407,1.58030795539708,1.78566762337823,1.51451451540902
"b2510_yfgJ_2635814_-1",6.6307590382692,6.69880098295789,6.84295506803142,6.63840018401403,6.62817826091705
"b2511_der_2637356_-1",8.21345139197647,8.21746410317505,8.00735387332484,8.16260112716814,7.93338695122532
"b2512_bamB_2638652_-1",5.91564447594428,6.16349437113972,6.15589278789731,6.55095369865562,6.51190651174753
"b2513_yfgM_2639283_-1",8.77291560312277,8.56514838931664,8.91922670272208,8.67397765144895,8.56288956447863
"b2514_hisS_2640575_-1",6.50265641671158,6.49087069275105,6.1112054591713,5.97161625789963,5.98855430149029
"b2515_ispG_2641804_-1",7.72643185691764,7.7391525569066,7.93830433281009,7.74110398665478,7.46198221322966
"b2516_rodZ_2642844_-1",5.57698945066749,5.63396530911947,5.23979319570157,5.90091913217815,5.49644698739308
"b2517_rlmN_2644283_-1",5.70669695763654,5.71522206410295,5.41871221519798,5.32305804220477,5.59499492478857
"b2518_ndk_2644864_-1",11.0652301739302,11.2012675588603,11.2131700048939,11.2889431064494,11.2894575359909
"b2519_pbpC_2647325_-1",4.85455545633712,4.38451257026275,4.58317514906693,4.76393909198676,4.44930090322061
"b2520_yfhM_2652287_-1",7.43738518601337,7.34654230120156,7.63457803372229,7.51067919949836,7.76791719055352
"b2521_sseA_2652494_1",8.36605693846441,8.06961165434762,8.43393336277062,8.06204372897142,8.12698474051155
"b2522_sseB_2654933_-1",4.12301673376518,4.38451257026275,4.33145367414917,4.51619148215587,4.63679380070539
"b2523_pepB_2656358_-1",8.06637847998986,8.09084769355153,8.14150350669876,7.86742753182638,7.83800952176432
"b2524_iscX_2656736_-1",5.40130911457037,5.53069225872232,5.50252195510938,5.49748157740119,5.54162833787127
"b2525_fdx_2657083_-1",4.42584381310022,5.01771579260522,4.7364285395195,5.10077416004642,4.80269879116831
"b2526_hscA_2658935_-1",5.58122438559551,5.83192691876951,5.48614498411327,6.02007388927223,5.80721046167554
"b2527_hscB_2659467_-1",1.35002297807448,1.12770282414911,0.975941682439968,0.907528986749695,0.660338435175433
"b2528_iscA_2659886_-1",7.46055842843783,7.45059975334219,7.33187990719395,7.41727782244146,7.46198221322966
"b2529_iscU_2660289_-1",7.96873866744053,8.57145710878249,7.81259391100942,8.61788117278469,8.68369971983513
