"","genenames","transcript","01_no_PNA","02_PNA15_5nM","03_PNA15_0.5nM","07_no_PNA","08_PNA15_5nM","09_PNA15_0.5nM","13_no_PNA","14_PNA15_5nM","15_PNA15_0.5nM","74_PNA15_16nM","75_PNA15_63nM","76_PNA15_250nM","77_PNA15_1000nM","78_PNA14_1000nM","79_no_PNA","80_PNA15_16nM","81_PNA15_63nM","82_PNA15_250nM","83_PNA15_1000nM","84_PNA14_1000nM","85_no_PNA","86_PNA15_16nM","87_PNA15_63nM","88_PNA15_250nM","89_PNA15_1000nM","90_PNA14_1000nM"
"1876","b2044_wcaL_2117127_-1","b2044_wcaL_2117127_-1",261.821,137.602,180.202,140.498,133.897,96.708,155.336,140.462,142.223,88.995,133.321,189.766,180.287,120.443,122.753,161.641,133.116,106.964,148.284,124.795,144.154,122.492,138.978,149.066,158.691,161.456
"1877","b2045_wcaK_2118404_-1","b2045_wcaK_2118404_-1",2985.323,2019.159,2078.977,1903.516,1574.242,1837.448,1413.689,1416.984,1600.765,912.721,1061.628,994.01,896.381,1140.191,1331.284,1002.171,1108.61,1112.427,1207.795,1071.765,1669.233,1392.909,1234.454,1132.902,1064.708,1207.286
"1878","b2046_wzxC_2120158_-1","b2046_wzxC_2120158_-1",542.139,741.854,493.44,634.505,556.628,614.448,644.841,711.301,741.375,792.681,822.967,740.989,604.889,693.75,708.752,691.821,865.257,688.849,676.843,579.927,755.168,663.207,686.716,662.516,579.408,685.099
"1879","b2047_wcaJ_2121554_-1","b2047_wcaJ_2121554_-1",109.566,86.749,85.868,104.24,87.989,91.99,90.069,96.638,107.928,97.274,87.235,108.437,104.465,115.625,168.055,111.532,147.676,89.85,121.975,163.334,119.582,125.992,119.358,110.971,112.56,114.91
"1880","b2048_cpsG_2122979_-1","b2048_cpsG_2122979_-1",1992.113,2372.138,1880.634,2348.803,1798.041,2122.853,1901.889,2079.966,2419.808,2237.305,1894.47,2159.713,1919.131,1912.63,2162.789,1773.197,1880.269,1822.669,2047.272,1591.13,2129.542,2175.109,1888.469,1772.23,1944.892,2005.841
"1881","b2049_cpsB_2124520_-1","b2049_cpsB_2124520_-1",419.767,342.011,387.011,337.648,309.875,308.993,340.695,353.965,344.966,318.728,408.192,282.389,377.424,356.51,349.261,387.937,382.71,389.35,452.026,438.616,424.27,418.223,421.84,414.072,442.86,356.368
"1882","b2050_wcaI_2125746_-1","b2050_wcaI_2125746_-1",31.305,27.919,24.188,21.528,36.343,40.098,37.855,42.701,36.312,18.627,26.335,27.109,23.589,22.483,32.15,17.78,29.119,29.95,33.483,34.869,45.867,31.498,22.891,21.532,25.833,29.091
"1883","b2051_wcaH_2126222_-1","b2051_wcaH_2126222_-1",9505.224,8237.172,9972.8,6916.11,9248.433,7300.257,10183.001,8933.402,7130.313,8090.31,7648.656,7432.483,8583.015,8737.715,5998.816,7031.363,8020.264,8296.14,7139.144,7484,7063.526,7954.983,7524.447,9223.876,8185.522,8632.825
"1884","b2052_wcaG_2127190_-1","b2052_wcaG_2127190_-1",1975.038,1681.137,1966.502,1653.113,2205.469,1915.285,2417.5,1951.864,1881.176,1810.954,2047.542,1988.02,2215.678,2538.932,2149.636,1939.686,1888.589,1660.084,1774.621,2270.159,1780.625,1958.123,2006.192,1785.48,2016.856,1806.566
"1885","b2053_gmd_2128314_-1","b2053_gmd_2128314_-1",3655.527,3841.886,3472.218,3632.544,2804.178,4028.704,3546.624,3227.262,3690.736,1937.204,2180.863,2532.466,2429.664,2506.814,2567.581,2311.46,2256.739,2468.733,2202.731,2268.324,2971.53,2304.6,2172.966,2550.686,2518.764,2817.486
"1886","b2054_wcaF_2128888_-1","b2054_wcaF_2128888_-1",17948.937,17330.865,18952.674,14112.082,16605.098,17216.341,16119.713,12971.974,14763.954,11250.684,13699.11,11821.941,11524.896,13300.084,10824.172,10089.602,10320.682,10182.988,10073.727,12240.874,11489.697,9442.386,9970.464,11030.888,9534.398,10961.579
"1887","b2055_wcaE_2129650_-1","b2055_wcaE_2129650_-1",3753.71,4000.428,3383.931,4269.315,3383.76,4343.594,3721.54,3768.884,4258.62,2580.869,3239.198,3440.63,3165.977,3857.378,4290.505,3484.97,3182.314,3401.46,3255.067,3413.497,3664.45,3603.016,3412.325,3527.897,3633.294,3287.31
"1888","b2056_wcaD_2130878_-1","b2056_wcaD_2130878_-1",896.451,351.982,575.679,308.188,351.957,266.536,279.344,275.306,252.168,289.753,162.947,275.612,271.273,234.462,170.977,281.255,282.872,278.107,296.567,179.851,191.659,222.236,286.132,263.35,383.812,269.094
"1889","b2057_wcaC_2132070_-1","b2057_wcaC_2132070_-1",180.713,193.44,187.459,208.48,206.583,209.927,197.107,243.843,218.882,149.016,202.45,180.729,163.438,194.314,248.428,208.516,212.154,226.764,203.292,247.754,232.611,202.987,245.256,210.349,177.144,215.275
"1890","b2058_wcaB_2132555_-1","b2058_wcaB_2132555_-1",665.935,507.532,643.406,634.505,774.688,645.112,784.513,743.888,656.646,1034.831,923.369,901.386,862.682,904.123,656.143,725.766,700.941,774.421,817.952,765.284,669.987,754.201,750.483,758.581,800.838,711.281
"1891","b2059_wcaA_2133397_-1","b2059_wcaA_2133397_-1",1455.665,1378.014,1439.199,1400.444,1375.31,1447.078,1243.994,1284.387,1230.582,1308.027,1162.03,1396.132,1368.16,1401.953,1158.846,1086.224,1156.449,1180.884,1152.786,1308.507,1136.848,1177.673,1169.052,1146.152,1276.912,1316.379
"1892","b2060_wzc_2135652_-1","b2060_wzc_2135652_-1",323.007,285.175,293.887,288.927,279.27,257.101,381.161,332.615,344.966,314.589,330.833,361.458,348.78,343.663,350.722,365.308,324.471,402.185,353.968,321.162,337.45,281.732,318.832,354.446,311.847,325.822
"1893","b2061_wzb_2136098_-1","b2061_wzb_2136098_-1",284.588,279.192,298.724,265.133,323.265,257.101,357.665,322.501,312.689,374.609,403.254,318.535,333.615,338.845,284.962,425.115,374.39,363.678,353.968,387.23,321.069,339.478,341.723,377.634,313.692,337.458
"1894","b2062_wza_2137243_-1","b2062_wza_2137243_-1",237.631,239.308,218.903,202.815,179.804,198.133,172.306,221.369,190.639,206.966,176.115,182.988,176.917,162.196,211.895,166.49,160.156,136.914,145.892,165.169,190.021,180.238,137.343,187.161,188.215,181.82
"1895","b2063_yegH_2137902_1","b2063_yegH_2137902_1",1252.185,1292.262,1240.855,1516.015,1344.705,1655.826,1447.628,1428.221,1334.475,1308.027,1354.604,1396.132,1285.599,1291.146,1202.686,1073.293,1208.447,1099.592,1418.262,1123.151,1249.877,1366.661,1155.972,1068.307,1332.269,1128.74
"1896","b2064_asmA_2141612_-1","b2064_asmA_2141612_-1",1848.396,1644.244,1676.243,1875.19,1977.845,2061.526,1532.476,1661.95,1590.678,2197.981,2062.356,1992.538,1769.173,1994.531,2118.948,2112.642,1857.39,1587.348,1798.538,1875.588,1711.824,1944.124,2066.689,1788.793,1752.986,1818.202
"1897","b2065_dcd_2142215_-1","b2065_dcd_2142215_-1",813.92,883.444,972.366,1017.475,1115.168,1022.508,1091.269,901.206,842.242,1171.429,880.575,1213.144,1088.462,1077.561,1097.469,1008.637,1129.41,1138.099,1179.095,1121.315,968.122,1013.184,1052.965,1084.87,1083.161,1053.103
